label,tweets
0,Targeted #ISIS accounts
0,"Over 90 attendees were on hand for an eye-opening look at ISIS presented by Israeli journalist and documentarian, and "
0,The German woman who says she went to Syria to fight Isis 
0,Only trump sees no evil  or threats in white supremacy or white ISIS
0,"@Manishajispeaks @Me4Bharat After releasing Manifesto it goes on step further. ISI and ISIS, JeM,LeT, Hurriyath,Tukde gang, all anti nationals"
0,"""The painful point was that America is a great country. How could a great country abandon its allies in the middle "
0,@naufalsanaullah @BodhiTreeCIO Trump hasnt done anything... its all noise. Obama state department engineered coups 
0,@melansman unpopular opinion: isis edition
0,Hephzibah woman accused of providing support to ISIS indicted in NY 
0,@bdogdrinksbeer @RyannBrazil @davidhogg111 Yet it took HOW long to defeat ISIS? And did you learn nothing about t 
0,@THEHermanCain Per @heyitsCarolyn WATCH Trump joking at Rep Congressional Dinner retelling a time he  wanted to kis 
0,ISIS-Linked Group Compiles Weekly Cybersecurity Bulletin for Followers #ITProsManagement #ISIS #cybersecurity 
0,ISIS NINOSHCA
0,The 3 D's.Deny. Deny. DenyDeflect. Deflect. Deflect.
0,West Ham is my favourite team.Its named after two things ISIS hates.
0,@MaryRWilliams4 @TheRynheart We are back in the 13th century. And the Inquisition is back at work.  Next step is th 
0,The State of the #Muslim World  
0,she drugged them allll
0,CNN: Schools around the country are being closed on Friday 4/5/19 due to a series of bomb threats by ISIS. Heres t 
0,It's my fault that RF and NATO are separate. They should be allied by now. I promoted division to make ISIS uncerta 
0,@PharoahFuzzyB @Janw28 @RaheemKassam @realDonaldTrump Best USA economy in 20 plus years-ISIS defeated on the battle 
0,"@spake54 @RealMattCouch Obama was an embarrassment to this county. Fueled isis, created racial separation, lied, an "
0,"Not saying all these ladies are extremists btw, but there's definitely a look and narrative the isis telegrams are "
0,And ISIS and Al Qaeda never attack Israel  hmmmmmm
0,LMAO 
0,@MeiaLua22 You cant really consider religion as fiction. Thats impossible cause religion actually is proven but is 
0,This 
0,Israeli-seized nuclear archive documentation indicates that Iran had begun the process of establishing an undergrou 
0,How Trump Betrayed the General Who Defeated ISIS 
0,@Charles_Lister @PoliticsProse Stuck in a cycle of lies and Wahhabi propaganda you are.Two years since this Ive s 
0,"@joshua_landis @shane_bauer @FabriceBalanche @LP_LaPresse tyranny, or with the dictatorship, which we knew would go "
0,Rand Paul: 'Destroy' ISIS Now 
0,@PapaDocStrunsee @saikatc Ok. Obama created isis. Trump beat them. Theres been less Americans in war zones since T 
0,"@whitepridelee Despite the fact that I do not like Islamism, I believe that us leave supporters need to be more like Hamas or ISIS"
0,@wesleysmorgan @TomaszRolbiecki This matter is related to whether you have an English source of ISIS or not. We are 
0,Israel has admitted helping Jabhat al Nusra (al Qaeda) in Syria. It caused Israeli Druze to riot and storm an ambul 
0,@AOCpress @Tim_m_johnson What is a border cr-ISIS?
0,She should never lay eyes on a DOGS ASS in this Country again much less Lady Liberty. To me she's a Dog Face Bitch.
0,"""Ugh, politics."""
0,Inside the last days of #ISIS  VICE News 
0,"'Burning with shame': Russian FM slams NATO SG Stoltenberg for likening Stalin to Hitler, ISIS -- Puppet Masters -- "
0,@YvetteCooperMP @DanJarvisMP They are using the very mans face as target practice that has sided with every enemy o 
0,Giving back some ... 
0,#Muslim;  #Syria #ISIS  #IS Qur'an: What was created first? Allah can quite recall 
0,Now INDIA GOVT. CORRUPTED ARMY should take right step against HIDDEN TERRORIST NETWORK IM/SIMI/ISIS gang of D-Compa 
0,saudi arabian authorities beheaded 146 people in 2017 and continues to do so regularly but its only bad when isis 
0,@TheRynheart @CreechJeff American ISIS
0,India having own TERRORIST MODULE's safe heaven full supported by INDIAN ARMY COAS staff. by BRIBE that is called D 
0,Lol you sound retarded. Nothing you said is factual not one bit
0,@Jim_Jordan @JohnJBrea Thats all they have and really dont have that. What else can they run on unemployment ? th 
0,How a smarter Islamic state is quietly taking over swathes of Syria after Isis defeat 
0,Inside ISISs Former Capital: The Forgotten People of Raqqa | Dispatches 
0,TERF VS ISIS
0,@NaMo_MyPM_No1 @ToTheePoint @JAVED0909 @YusufDFI @TarekFatah @Imamofpeace @miss9afi @ConfessionsExMu It's not the q 
0,"@MEMRIReports @samantha_chang Islamophobia is real and justified.  Women, Jews, Christians and gay people should al "
0,California: How did a Muslim refugee - arrested for ISIS cop killing - get into the U.S.? (VIDEO) 
0,"Congolese President Cites Threat from ISIS, Seeks US Help to Fight Terrorism "
0,@ronology_ @NFL @the_USO @ChicagoBears @ChaseDaniel @Patriots @Jaguars @MylesJack @Saints @camjordan94 I'd rather j 
0,"@PercyToplis If they were playing ISIS, I'd be waving a black flag."
0,of course he did ... 
0,How Trump Betrayed the General Who Defeated ISIS 
0,"The Fall of Mosul (2016) -- Historical documentary looking at the social, political, and military reasons that 1500 "
0,"Studying esoteric anthropology re: the coming race/the end of days. In Syria, ISIS has been destroying ancient Sume "
0,Now this is a Nigerian
0,@Charles_Lister @PoliticsProse Stuck in a cycle of lies and Wahhabi propaganda you are.Two years since this Ive s 
0,could this be true????
0,@WSJ I'll defit ISIS in 30 daysWe'll build a wall for freeEveryone will be covered on healthcare BUT YOU IDIOTS 
