label,tweets
0,Not a single ISIS flag is flying as far as the eye can see in eastern Syria 
0,@ni04Ep3Xt4lcCqT ISIS
0,Islamic State group: Syria's Kurds call for international tribunal to prosecute captured ISIS fighters  
0,#YPJ celebrates success over #ISIS
0,"Not today, Isis "
0,"@codepink @SecPompeo US supports terrorism for #RegimeChgWhen that doesn't work, #Sanctions, on Russia, Iran, Syria, Lebanon, countries that fought ISIS et al in #SyriaThey're being strangled economically. No country is allowed help reconstruction in Syria!#WakeUpAmerica  "
0,"The Kurdish-led administration in northern Syria has called for the creation of an international tribunal to try thousands of suspected members of the ISIS, including the 1,000 foreign fighters from about 50 countries."
0,Absolutely spot on!!
0,Obama is ISIS
0,MENOLAK KEBERADAAN ISIS!!!!
0,@RyanAFournier But Obama was head of isis
0,#Obama failed. In everything.
0,"@pghcuz @realDonaldTrump John McStain consorted with ISIS (more than once.Simply search his name and ISIS and look at the photos.....Regardless of what he did earlier in life, you can not defend that.!"
0,"If Russia can\'t sweet talk Syria and Hezbollah then....who knows.  Bombing Gazans is not the same as taking on a full army coming off a  huge victory over ""Israelis"" terrorists known as  ISIS and the last time  ""Israel"" attacked Hezbollah Zionists left in body bags. It\'s insanity"
0,@jesmith1971 @YoungSaeed @TridogTri @adasomg @realDonaldTrump @sundarpichai @Google Obama told Putin he would be flexible with him.  He sent billions to Iran. Sat and watched a ball game with Castro.  Let North Korea and China push us all over.  Wimped our to Assad and basically spawned ISIS.  He was the worst president ever. Traded a deserter for 5 taliban etc
0,REVEALED: US training ISIS militants at Al-Tanf to attack Syrian oil fields @FortRussNews 
0,"It is not Islam that has a first amendment right. It is so-called Muslims seeking to safely leave Islam, notwithstanding the clear and present danger represented by assertive pious Muslims who believe it is their Islamic duty to kill them for Apostasy, to which #1A applies."
0,#TheQueenMzansi
0,"@CarlaCarlotta4 @Partisangirl Absolutely, isn't ISIS defeated already? What the hell are they doing still bombing up the place?"
0,#Veteran
0,@charliekirk11 @DonaldJTrumpJr When ISIS is confirmed as active and doing well what will you say.  Nothing Im sure.  Mission accomplished my ass.
0,"@AlexKriznic @QasimRashid @KatiePavlich @Peter217945 @labor_trash Mainly other Arabs for hundreds of years and later for a relatively short period,  some Europeans. The Arab Slave trade  existed before, during and after any European customers. Having slaves is part of Sharia and was openly used by ISIS as their right."
0,#UK
0,FINAL WARNING: Frontline Fighting: Battling ISIS (2015) will be removed in the next couple of days!  #LastChance
0,Targeted #ISIS accounts  #targets #iceisis #opiceisis
0,#US
0,@nytimes Obama let the Izetis get wiped out and left them on Mt. Sinjar to die. He allowed ISIS to commit genocide on Christians and commit mass murder in Iraq and Syria.
0,#
0,"@RyanAFournier @skigolfhunt Great tweet. The Obama suckupers forgot how Obummer essentially bowed to ISIS. While Trump annihilated  them in weeks, as promised."
0,@RyanAFournier I think Obama was bent on helping ISIS. Or at least do zero to stop them. Witness: the insane rules of engagement he put our soldiers under.
0,Beautiful work from @lynseyaddario .  #photojournalism at its finest.
0,@KimberlyMrsRR1 @AppSame Swine.. get rid of her before it's too late. We still have a chance to reverse her hate and acceptance of ISIS and terrorism.
0,"I remember those days. Where we protested things that were real and mattered..Instead of shrieking about something a small time celebrity or politician said in a tweetThe world didn't need to listen. It, and all the politicians involved, knew it was a pack of lies and bullshit"
0,Full update on recent ISIS activity in Tunisia and anti-terror operations launched - photos included. (March 2019) 
0,"@TheOnlyDon313 @4everquestion @CruxOrgan @HumanistReport @Alex032691 @KimIversenShow @AnaKasparian @TulsiGabbard @KyleKulinski The problem is when you endorse Gabbard/Bannons view (ignoring that Islam defines itself as a religion of peace), you alienate and antagonize all Muslims whose religion informs their politics (Islamists) by lumping them w/ terrorists like ISIS, and u come off as a Crusader"
