Text,Retweet count,Favorite count
b'#ISIS Leader \xe2\x80\x98#AlBaghdadi\xe2\x80\x99 Revealed To Be #Mossad Agent https://t.co/5s1pC6QuWT\n #Trump #MAGA #UKIP #Brexit\xe2\x80\xa6 https://t.co/wlziQ8BSJc',0,0
b'Not a single ISIS flag is flying as far as the eye can see in eastern Syria https://t.co/hwWEN2vFDT',0,0
"b'isadora: quem n tenho intimidade ou qdo eu fa\xc3\xa7o merda\nisa: minhas av\xc3\xb3s, galera do casa blanca, familiares, ledna e\xe2\x80\xa6 https://t.co/vH05ajAtBy'",0,0
b'@ni04Ep3Xt4lcCqT \xe3\x81\x9d\xe3\x81\x86\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe3\x81\xaa\xe3\x81\xae\xe3\x81\xa7\xe3\x80\x81\xe5\xae\x97\xe6\x95\x99\xe3\x81\xaa\xe3\x82\x89\xe5\xae\x97\xe6\x95\x99\xe3\x82\x89\xe3\x81\x97\xe3\x81\x8f\xe3\x80\x81\xe5\x86\x85\xe8\xbc\xaa\xe3\x81\xa7\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xa6\xe6\xac\xb2\xe3\x81\x97\xe3\x81\x84\xe3\x81\x97\xe3\x80\x81\xe3\x81\x9d\xe3\x82\x8c\xe3\x82\x92\xe4\xbb\x96\xe4\xba\xba\xe3\x81\xab\xe6\x8a\xbc\xe3\x81\x97\xe4\xbb\x98\xe3\x81\x91\xe3\x82\x8b\xe3\x81\x9f\xe3\x82\x81\xe3\x80\x81\xe8\x82\x89\xe5\xb1\x8b\xe8\xa5\xb2\xe6\x92\x83\xe3\x81\xae\xe3\x82\x88\xe3\x81\x86\xe3\x81\xaa\xe3\x80\x8c\xe8\x81\x96\xe6\x88\xa6\xe3\x80\x8d\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xae\xe3\x81\xaf\xe3\x80\x81ISIS\xe3\x81\xae\xe3\x80\x8c\xe3\x83\x86\xe3\x83\xad\xe3\x80\x8d\xe3\x81\xa8\xe5\x90\x8c\xe7\xad\x89\xe3\x81\xa0\xe3\x81\xa8\xe3\x80\x81\xe5\xb0\x91\xe3\x81\xaa\xe3\x81\x8f\xe3\x81\xa8\xe3\x82\x82\xe7\xa7\x81\xe3\x81\xaf\xe6\x84\x9f\xe3\x81\x98\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82',0,0
"b""\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5Islamic State group: Syria's Kurds call for international tribunal to prosecute captured ISIS fighters \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/5ns2nPm4Xt""",0,0
b'@RyanAFournier Obama created ISIS!!!',0,0
b'\xe2\x9b\x94ISIS\n\n\xe2\x9e\xa1https://t.co/SxenfPgFgT\n\xf0\x9f\x86\x94https://t.co/l4pDcf27yr\n\n\xe2\x9e\xa1https://t.co/Dj03bY88Na\n\xf0\x9f\x86\x94https://t.co/8PcgEWOcnN\n\n[ #KatibaDesKuffars ]',0,0
b'#YPJ celebrates success over #ISIS',0,0
b'Cami/Camis- quase todos\nCamis Carellis- Ju e B\xc3\xa1rbara \nCami Ca- @AnnaDaros0 \nCamizinha/ Cami Caralho- pessoas tentan\xe2\x80\xa6 https://t.co/gwQGPYicAn',0,0
"b'Not today, Isis https://t.co/F7osp80kqq'",0,0
