label,description,tweets
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION: 'A MESSAGE TO THE TRUTHFUL IN SYRIA - SHEIKH ABU MUHAMMED AL MAQDISI: http://t.co/73xFszsjvr http://t.co/x8BZcscXzq
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"ENGLISH TRANSLATION: SHEIKH FATIH AL JAWLANI 'FOR THE PEOPLE OF INTEGRITY, SACRIFICE IS  EASY' http://t.co/uqqzXGgVTz http://t.co/A7nbjwyHBr"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION: FIRST AUDIO MEETING WITH SHEIKH FATIH AL JAWLANI (HA): http://t.co/TgXT1GdGw7 http://t.co/ZuE8eisze6
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"ENGLISH TRANSLATION: SHEIKH NASIR AL WUHAYSHI (HA), LEADER OF AQAP: 'THE PROMISE OF VICTORY': http://t.co/3qg5dKlIwr http://t.co/7bqk1wJAzC"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION: AQAP: 'RESPONSE TO SHEIKH BAGHDADIS STATEMENT 'ALTHOUGH THE DISBELIEVERS DISLIKE IT.' http://t.co/2EYm9EymTe
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,THE SECOND CLIP IN A DA'WAH SERIES BY A SOLDIER OF JN: Video Link :http://t.co/EPaPRlph5W http://t.co/4VUYszairt
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSCRIPT : OH MURABIT! : http://t.co/hujLj9KGkG http://t.co/t9IxMtBVGK
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION: 'A COLLECTION OF THE WORDS OF THE U'LAMA REGARDING DAWLAH': http://t.co/AJbayWNxDQ http://t.co/mAycbhaUzH
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,Aslm Please share our new account after the previous one was suspended.@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION: AQAP STATEMENT REGARDING THE BLESSED RAID IN FRANCE:http://t.co/qvErFO25Qj http://t.co/YIcnGMVjiX
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited @IbnNabih1
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"NEW LINK, AFTER PREVIOUS ONE TAKEN DOWN:AQAP-'THE FACES HAVE BEEN BRIGHTENED' -REGARDING THE BLESSED ATTACK IN FRANCE http://t.co/RaLSnPd547"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,ENGLISH TRANSLATION- SHEIKH ABU HASAN AL KUWAITI (HA) ADVICE OF NABI S.A.W TO THE MUJAHIDEEN: https://t.co/QcKBdeCdty http://t.co/SUDbVtQtTG
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"SHEIKH ABU HASSAN AL KUWAITI (HA): ADVICE OF NABI SAW TO THE MUJAHIDEEN: 
http://t.co/bJ24uNFNIT http://t.co/99nsW0Nzxa"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,@IbnNabih1 @MuwMedia @Dawlat_islam7 Not translating it either.
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"Aslm, anybody translating the new JN video? Will translate it if  nobody else is @IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,@IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid So we will translate it then inshallah let us knw if anybody is available for the subs
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"@IbnNabih1 @abuw_ukasyah @polder_mujaahid @AbuIzzadeen2 @MuwMedia  half way through, a few more days inshallah, been very busy."
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid  Aslm, we have completed the translation with the exception of a few news"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid reports and words of the Syrian people, will have that completed by tomorrow"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid  inshallah. Should we still finish it, or not?"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"NEW links for #JN Video - ENG Subs: The Path of Salvation :
WATCH:
http://t.co/1hLwtP3XOd
http://t.co/jcviGUdedv http://t.co/SzOgGMvPMI"
,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,"DOWNLOAD #JN Video With English Subtitles: The Path of Salvation #سبيل_النجاة
https://t.co/HGZPYIAsw0 http://t.co/50UpXYFTwO"
